# Q_bell vs p_noise for GHZ (Z), N=6, mode=dm
# Optimizer: L-BFGS, max_iter=300
# Generated: 2026-01-31T20:23:17.475
#
# p_noise  dephasing  depolarizing  amplitude_damping
0.0000  +4.000000  +4.000000  +4.000000
0.0200  +3.825122  +3.532070  +3.825122
0.0400  +3.646638  +3.051141  +3.646638
0.0600  +3.464396  +2.556469  +3.464396
0.0800  +3.278235  +2.047246  +3.278235
0.1000  +3.087981  +1.522589  +3.087981
0.1200  +2.893453  +0.981535  +2.893453
0.1400  -31.247670  +0.423024  +2.694451
0.1600  -30.663306  -0.154108  +2.490767
0.1800  +2.282175  -0.751144  +2.282175
0.2000  +2.068431  -1.369508  +2.068431
0.2200  +1.849276  -2.010779  +1.849276
0.2400  +1.624428  -2.676720  +1.624428
0.2600  +1.393583  -3.369306  +1.393583
0.2800  +1.156413  -30.022706  +1.156413
0.3000  +0.912561  -24.447015  +0.912561
0.3200  +0.661640  -5.630647  +0.661640
0.3400  +0.403228  -6.455200  +0.403228
0.3600  +0.136863  -26.751733  +0.136863
0.3800  -0.137959  -8.232384  -0.137959
0.4000  -0.421794  -9.194428  -0.421794
0.4200  -5.485708  -10.213095  -0.715251
0.4400  -1.019008  -11.295469  -1.019008
0.4600  -1.333812  -29.824700  -1.333812
0.4800  -5.620394  -24.950744  -1.660499
0.5000  -2.000000  -28.187008  -2.000000
