# Q_bell vs p_noise for GHZ (Z), N=6, mode=dm
# Optimizer: SPSA+Adam, max_iter=300
# Generated: 2026-01-31T18:56:49.278
#
# p_noise  dephasing  depolarizing  amplitude_damping
0.0000  +3.999285  +3.986159  -9.081173
0.0200  -11.137086  -12.180527  +3.822730
0.0400  -13.560039  -14.652804  -14.001122
0.0600  +3.455586  +2.487823  -18.694795
0.0800  -15.915279  -8.447507  -11.674459
0.1000  +3.082643  -23.293578  +3.085315
0.1200  +2.890819  -22.512585  +2.883964
0.1400  -13.648065  -11.547142  +2.686604
0.1600  +2.487018  -22.512103  -10.380032
0.1800  -1.473348  -16.429618  +2.280941
0.2000  +2.063761  -1.372004  -12.577877
0.2200  -15.497386  -23.188013  +1.838066
0.2400  -19.124680  -19.526300  +1.623359
0.2600  -16.610888  -23.534443  -13.831168
0.2800  -11.371296  -16.685958  +1.156201
0.3000  -14.377822  -13.898033  -12.372924
0.3200  +0.653650  -14.259000  -16.570385
0.3400  -13.858230  -21.725107  -6.325358
0.3600  +0.125447  -22.394637  -17.784381
0.3800  -13.836788  -20.117239  -11.925445
0.4000  -12.022660  -38.502648  -9.983221
0.4200  -28.599305  -19.575272  -16.727714
0.4400  -6.197682  -26.881113  -1.023530
0.4600  -1.366788  -23.127160  -12.653631
0.4800  -5.847548  -21.694230  -20.042714
0.5000  -36.851442  -24.531904  -2.007733
