# Q_bell vs p_noise for GHZ (Z), N=6, mode=mcwf
# Optimizer: SPSA+Adam, max_iter=300
# Trajectories: M=1000
# Generated: 2026-01-31T19:42:10.268
#
# p_noise  dephasing  depolarizing  amplitude_damping
0.0000  +3.996950  -16.690907  +3.996532
0.0200  -18.023523  -14.928830  -19.007610
0.0400  +3.659928  -16.755997  +3.636392
0.0600  -12.329316  +2.505705  -12.888928
0.0800  +3.284155  -17.922410  -23.172194
0.1000  +3.173256  -18.452199  +3.079743
0.1200  +2.957246  -14.327632  -5.253950
0.1400  -9.196022  -16.536211  +2.656894
0.1600  +2.638434  -4.874255  +2.439789
0.1800  +2.457461  -15.342816  +2.391633
0.2000  +2.242891  -9.954231  -25.636736
0.2200  -18.428949  -6.485305  +1.873041
0.2400  -12.453244  -13.026557  +1.745968
0.2600  +1.232685  -10.633304  -10.772335
0.2800  -16.642576  -13.845026  +1.036841
0.3000  -17.474891  -13.856501  -9.187767
0.3200  -12.170976  -10.023133  -18.011550
0.3400  +0.199372  -14.076186  +0.438254
0.3600  -0.492905  -15.467965  -10.973284
0.3800  -0.142614  -13.100680  -15.349766
0.4000  -0.562078  -11.651493  -8.454831
0.4200  -12.222125  -13.481505  -20.126403
0.4400  -7.358646  -17.680059  -0.805073
0.4600  -15.133310  -13.945062  -20.519830
0.4800  -9.526506  -12.657710  -13.644124
0.5000  -20.590392  -16.173179  -14.732777
