# Q_bell vs p_noise for GHZ (Z), N=8, mode=dm
# Optimizer: SPSA+Adam, max_iter=300
# Generated: 2026-01-31T18:52:25.141
#
# p_noise  dephasing  depolarizing  amplitude_damping
0.0000  -13.676997  -8.861565  +5.955687
0.0200  -11.287533  -9.502039  -7.461153
0.0400  -15.788049  -15.960956  -11.982308
0.0600  -20.229537  -15.055301  -19.026252
0.0800  -8.276756  -18.331748  -16.021592
0.1000  -12.757751  -19.593791  -13.712046
0.1200  -9.073377  -14.595940  -28.854360
0.1400  -11.860548  -40.985298  -33.820277
0.1600  -15.678462  +0.407960  -13.325701
0.1800  -19.131102  -23.804442  -5.200890
0.2000  +3.402583  -31.859221  +3.412184
0.2200  -36.226886  -35.253125  +3.120425
0.2400  -13.218683  -24.453646  -31.423583
0.2600  -23.101240  -19.278218  -8.939753
0.2800  -11.035710  -42.122579  -13.457901
0.3000  -21.682576  -21.228403  -16.176411
0.3200  +1.526371  -21.833091  -30.589795
0.3400  -16.571131  -24.847573  -3.738097
0.3600  -7.816709  -45.647152  -16.578678
0.3800  -42.508924  -40.941022  -16.863453
0.4000  -38.944678  -39.839135  -23.021188
0.4200  -15.393082  -33.964066  -12.977964
0.4400  -17.132122  -27.277639  -12.691920
0.4600  -13.157636  -27.450488  -22.119995
0.4800  -34.456233  -31.623437  -39.140885
0.5000  -18.693017  -35.118695  -10.028331
