# Q_bell vs p_noise for Star+T, N=6, mode=dm
# Optimizer: L-BFGS, max_iter=300
# Generated: 2026-01-31T20:24:10.194
#
# p_noise  dephasing  depolarizing  amplitude_damping
0.0000  +4.000000  +4.000000  +2.056271
0.0200  +3.898172  +3.532070  +3.752440
0.0400  +3.794623  +3.051141  +3.500155
0.0600  +3.689290  +2.556469  +3.242954
0.0800  +3.582104  +2.047246  +2.980633
0.1000  +3.472993  +1.522589  +2.712978
0.1200  +3.361880  +0.981535  +2.439757
0.1400  +3.248683  +0.423024  +2.160726
0.1600  +3.133315  -0.154108  +1.875621
0.1800  +3.015683  -0.751144  +1.584163
0.2000  +2.895689  -1.369508  +1.286048
0.2200  +2.773225  -2.010779  +0.980955
0.2400  +2.648178  -2.676720  +0.668535
0.2600  +2.520427  -3.369306  +0.348413
0.2800  +2.389839  -4.090758  +0.020183
0.3000  +2.256273  -4.843587  -0.316593
0.3200  +2.119576  -5.630647  -0.662391
0.3400  +1.979582  -6.455200  -1.017728
0.3600  +1.836113  -7.320998  -1.383168
0.3800  +1.688972  -8.232384  -1.759326
0.4000  +1.537946  -9.194428  -2.146881
0.4200  +1.382803  -22.094694  -2.546565
0.4400  +1.223286  -11.295469  -2.959202
0.4600  +1.059115  -27.146614  -3.385686
0.4800  +0.889979  -25.110082  -3.827008
0.5000  +0.715533  -23.474000  -4.284252
