# Q_bell vs p_noise for Star+T, N=6, mode=mcwf
# Optimizer: SPSA+Adam, max_iter=300
# Trajectories: M=1000
# Generated: 2026-01-31T20:23:08.182
#
# p_noise  dephasing  depolarizing  amplitude_damping
0.0000  +3.843354  -14.639849  +3.886023
0.0200  +3.747327  +3.323497  +3.705068
0.0400  +3.677479  -11.086242  +2.797816
0.0600  +3.527428  -4.383553  +3.425922
0.0800  +3.535650  +1.857559  +3.262697
0.1000  +3.273156  +1.380391  +2.689358
0.1200  +3.293916  -0.598709  +2.894912
0.1400  +3.267140  -13.925097  +2.598550
0.1600  +3.022559  -0.312923  -4.758510
0.1800  +3.014886  -11.804358  -5.801801
0.2000  -13.650097  -13.757995  +2.134564
0.2200  +2.544604  -1.771453  +1.764282
0.2400  +2.456543  -11.405073  -7.933897
0.2600  -14.272645  -16.238071  -17.043297
0.2800  +2.201541  -15.612209  -5.765416
0.3000  -12.325003  -15.558672  -5.367426
0.3200  +1.791797  -11.301137  -10.326530
0.3400  -11.876969  -11.697843  +0.729965
0.3600  +1.681912  -14.991962  -8.907511
0.3800  -7.884604  -12.727347  -8.027208
0.4000  -7.038602  -14.401472  -0.211517
0.4200  -14.519485  -16.997153  -8.857585
0.4400  -7.707485  -13.800736  -9.692290
0.4600  -15.278523  -14.588690  -10.723683
0.4800  -11.638984  -14.343941  -12.848805
0.5000  -14.470044  -14.174068  -4.495698
