# Q_bell vs p_noise for Star+T, N=8, mode=dm
# Optimizer: SPSA+Adam, max_iter=300
# Generated: 2026-01-31T18:52:32.708
#
# p_noise  dephasing  depolarizing  amplitude_damping
0.0000  -12.598226  -12.133707  -13.527009
0.0200  -12.784215  -11.185009  -2.406830
0.0400  -8.867219  -11.176129  -10.799078
0.0600  -10.535742  -8.995117  -9.422216
0.0800  -5.911517  -13.721756  -11.354143
0.1000  +5.060134  -11.049934  -9.166967
0.1200  -20.448740  -15.399138  -4.795303
0.1400  -10.704379  -18.010364  -10.402179
0.1600  -11.249605  -6.485105  -13.445837
0.1800  -12.290968  -27.520658  -16.655425
0.2000  -14.122787  -16.645618  -14.711916
0.2200  -8.625799  -23.752029  -11.298497
0.2400  -15.019513  -13.996561  -17.086574
0.2600  -13.686757  -14.105370  -10.277711
0.2800  -6.168145  -14.648987  -13.833402
0.3000  -14.422644  -17.980945  -12.038008
0.3200  -9.999914  -25.983634  -15.649869
0.3400  -16.539907  -22.257544  -16.538588
0.3600  -14.009627  -26.283188  -15.735632
0.3800  -14.720852  -31.271427  -19.207380
0.4000  -6.995006  -18.726991  -14.821162
0.4200  -14.199192  -26.027217  -18.263373
0.4400  -22.527801  -35.777572  -14.911053
0.4600  -14.821660  -28.344684  -23.003610
0.4800  -16.397749  -35.795673  -15.384743
0.5000  +1.458121  -32.844126  -14.455525
